ID,Type,SKU,Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (g)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 2 name","Attribute 2 value(s)","Attribute 2 visible","Attribute 2 global","Attribute 3 name","Attribute 3 value(s)","Attribute 3 visible","Attribute 3 global","Attribute 4 name","Attribute 4 value(s)","Attribute 4 visible","Attribute 4 global","Attribute 4 default","Attribute 5 name","Attribute 5 value(s)","Attribute 5 visible","Attribute 5 global","Attribute 1 default","Attribute 2 default"
\n
\nFoldable backrest.
\n
\nStorage under seat.",,,taxable,,1,10,,0,0,,,,,1,,,,"Stryker Inflatable Boat Accessories > Seats",,,"https://strykerboats.com/wp-content/uploads/2020/08/Console-21.jpg, https://strykerboats.com/wp-content/uploads/2020/08/Console-18.jpg, https://strykerboats.com/wp-content/uploads/2020/08/Console-19.jpg, https://strykerboats.com/wp-content/uploads/2020/08/Console-20.jpg, https://strykerboats.com/wp-content/uploads/2020/08/Console-21.jpg, https://strykerboats.com/wp-content/uploads/2020/08/Console-22.jpg, https://strykerboats.com/wp-content/uploads/2020/08/Console-23.jpg",,,,,,,,,12,color,"Arctic White, Black",1,1,,,,,,,,,,,,,,,,,,,
1903,variable,CONARMP,"Stryker Bench w Foldable Backrest Package",1,0,visible,"Included:
\n<ul>
\n 	<li>Bench with foldable backrest</li>
\n 	<li>upholstered cushion and backrest</li>
\n 	<li>steering arm</li>
\n</ul>
\nNOT INCLUDED: steering wheel","Steering arm w/ bench (has foldable backrest and storage in side). 31"" tall w backrest up. 38x30x16"" 46lbs.",,,taxable,,1,9,,0,0,,,,,1,,,,"Stryker Inflatable Boat Accessories > Seats",,,"https://strykerboats.com/wp-content/uploads/2020/08/Console-1.jpg, https://strykerboats.com/wp-content/uploads/2020/08/Console-1.jpg, https://strykerboats.com/wp-content/uploads/2020/08/Console-5.jpg, https://strykerboats.com/wp-content/uploads/2020/08/Console-6.jpg, https://strykerboats.com/wp-content/uploads/2020/08/Console-7.jpg, https://strykerboats.com/wp-content/uploads/2020/08/Console-8.jpg, https://strykerboats.com/wp-content/uploads/2020/08/Console-10.jpg, https://strykerboats.com/wp-content/uploads/2020/08/Console-11.jpg, https://strykerboats.com/wp-content/uploads/2020/08/Console-12.jpg, https://strykerboats.com/wp-content/uploads/2020/08/Console-25.jpg, https://strykerboats.com/wp-content/uploads/2020/08/Console-27.jpg, https://strykerboats.com/wp-content/uploads/2020/08/Console-28.jpg",,,,,,,,,16,color,"Arctic White, Black",1,1,,,,,,,,,,,,,,,,,,,
1922,simple,PSEATHW,"Seat Hook Webbing",1,0,visible,"Black PVC w/ seat holding strap. Glue sold separately.","Black PVC w/ seat holding strap. Glue sold separately.",,,taxable,,1,88,,0,0,,,,,1,,,30,"Stryker Inflatable Boat Accessories > Parts",,,https://strykerboats.com/wp-content/uploads/2021/02/DSCF0591-99.jpg,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,
1923,simple,,"Seat Clip",'-1,0,visible,"Plastic seat clip for use with aluminum bench seats.","Plastic seat clip for use with aluminum bench seats.",,,taxable,,1,95,,0,0,,,,,1,,,15,"Stryker Inflatable Boat Accessories > Parts",,,https://strykerboats.com/wp-content/uploads/2021/02/DSCF0577-89.jpg,,,,,,,,,7,,,,,,,,,,,,,,,,,,,,,,,
1924,simple,,"Steering Wheel",'-1,0,visible,"Attwood 8315-4. Weatherproof 13-Inch Marine Boat Soft-Grip Steering Wheel with Cap. Fits 3/4"" shaft.
\n","Attwood 8315-4. Weatherproof 13-Inch Marine Boat Soft-Grip Steering Wheel with Cap. Fits 3/4"" shaft.
\n",,,taxable,,1,5,,0,0,,,,,1,,,0,Uncategorized,,,,,,,,,,,,10,,,,,,,,,,,,,,,,,,,,,,,
1977,simple,VALVEDG,"Gate Style Drain Valve",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,20,"Stryker Inflatable Boat Accessories > Parts, Stryker Inflatable Boat Accessories, Stryker Inflatable Boat Accessories > Stryker®",,,https://strykerboats.com/wp-content/uploads/2021/02/DSCF0587-96.jpg,,,,,,,,,5,,,,,,,,,,,,,,,,,,,,,,,
1978,simple,DRAINP24,"Plug Only for Drain Valve",1,0,visible,,,,,taxable,,1,,,0,0,,,,,1,,,10,"Stryker Inflatable Boat Accessories > Parts, Stryker Inflatable Boat Accessories, Stryker Inflatable Boat Accessories > Stryker®",,,https://strykerboats.com/wp-content/uploads/2021/02/DSCF0583-93.jpg,,,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,
5757,simple,OTMFS60AETL,"TOHATSU MFS60AETL",1,0,visible,"With a sleek look and two color options (Aqua Marine Blue and Beluga White), the new MFS60A 4-stroke outboard has been created with new technologies and characteristics. By using proven technology such as; electronic fuel injection (EFI), dual intake valves, anodized pistons and a modified roller rocker arm, your time on the water will be equipped with smoother and faster acceleration.","With a sleek look and two color options (Aqua Marine Blue and Beluga White), the new MFS60A 4-stroke outboard has been created with new technologies and characteristics. By using proven technology such as; electronic fuel injection (EFI), dual intake valves, anodized pistons and a modified roller rocker arm, your time on the water will be equipped with smoother and faster acceleration.",,,taxable,,1,,,0,0,,,,,1,,,10086,"Outboards, Outboards > Tohatsu Boat Motors",,,https://strykerboats.com/wp-content/uploads/2021/02/MFS60A-scaled-1.jpg,,,,,,,,,144,,,,,,,,,,,,,,,,,,,,,,,
5762,simple,OTMFS75AETL,"TOHATSU MFS75AETL",1,0,visible,"The MFS75 design is built on our best-selling models the MFS40/50/60 and the MFS9.9/15/20. The legacy of our top performing and most reliable engines has been passed on, with a dynamic design and sophisticated details, to our all new MFS115 4-stroke outboard with industry-first innovative feature and characteristics.
\n
\nThe groundbreaking industry-first technology, 4-2-1 Performance Tuned Exhaust, provides incomparable torque throughout the RPM range. The higher torque you have the better hole shot, which translates to faster speeds. Higher torque also means less drag, which in turn means more boating options; it could be applied to any type of boat. From light to heavy, pleasure or commercial boats.
\n
\nThe synergy between the 4-2-1 Performance Tuned Exhaust and our fine-tuned ECU programming, MFS75 provides a strong acceleration when needed in order to get the boat on plane quicker and allowing you to reach the top end speed faster.
\n
\nEquipped with standard features such as Variable Idle System allowing you to change the idle speed from 650 to 850 RPMs, a low gear ratio (2.08:1) giving you the increased low end torque your boat needs, a fresh-water Flushing System designed to make routine flushing easier, and a High Output 41 amp Alternator, the MFS75 provides the industry leading features you expect from Tohatsu.","The MFS75 design is built on our best-selling models the MFS40/50/60 and the MFS9.9/15/20. The legacy of our top performing and most reliable engines has been passed on, with a dynamic design and sophisticated details, to our all new MFS115 4-stroke outboard with industry-first innovative feature and characteristics.
\n
\nThe groundbreaking industry-first technology, 4-2-1 Performance Tuned Exhaust, provides incomparable torque throughout the RPM range. The higher torque you have the better hole shot, which translates to faster speeds. Higher torque also means less drag, which in turn means more boating options; it could be applied to any type of boat. From light to heavy, pleasure or commercial boats.
\n
\nThe synergy between the 4-2-1 Performance Tuned Exhaust and our fine-tuned ECU programming, MFS75 provides a strong acceleration when needed in order to get the boat on plane quicker and allowing you to reach the top end speed faster.
\n
\nEquipped with standard features such as Variable Idle System allowing you to change the idle speed from 650 to 850 RPMs, a low gear ratio (2.08:1) giving you the increased low end torque your boat needs, a fresh-water Flushing System designed to make routine flushing easier, and a High Output 41 amp Alternator, the MFS75 provides the industry leading features you expect from Tohatsu.",,,taxable,,1,,,0,0,,,,,1,,,14604,"Outboards, Outboards > Tohatsu Boat Motors",,,https://strykerboats.com/wp-content/uploads/2021/02/MFS75A.jpg,,,,,,,,,145,,,,,,,,,,,,,,,,,,,,,,,
5764,simple,OTMFS90AETUL,"TOHATSU MFS90AETUL",1,0,visible,"The MFS90 design is built on our best-selling models the MFS40/50/60 and the MFS9.9/15/20. The legacy of our top performing and most reliable engines has been passed on, with a dynamic design and sophisticated details, to our all new MFS90 4-stroke outboard with industry-first innovative feature and characteristics.
\n
\nThe groundbreaking industry-first technology, 4-2-1 Performance Tuned Exhaust, provides incomparable torque throughout the RPM range. The higher torque you have the better hole shot, which translates to faster speeds. Higher torque also means less drag, which in turn means more boating options; it could be applied to any type of boat. From light to heavy, pleasure or commercial boats.
\n
\nThe synergy between the 4-2-1 Performance Tuned Exhaust and our fine-tuned ECU programming, MFS90 provides a strong acceleration when needed in order to get the boat on plane quicker and allowing you to reach the top end speed faster.
\n
\nEquipped with standard features such as Variable Idle System allowing you to change the idle speed from 650 to 850 RPMs, a low gear ratio (2.08:1) giving you the increased low end torque your boat needs, a fresh-water Flushing System designed to make routine flushing easier, and a High Output 41 amp Alternator, the MFS90 provides the industry leading features you expect from Tohatsu.","The MFS90 design is built on our best-selling models the MFS40/50/60 and the MFS9.9/15/20. The legacy of our top performing and most reliable engines has been passed on, with a dynamic design and sophisticated details, to our all new MFS90 4-stroke outboard with industry-first innovative feature and characteristics.
\n
\nThe groundbreaking industry-first technology, 4-2-1 Performance Tuned Exhaust, provides incomparable torque throughout the RPM range. The higher torque you have the better hole shot, which translates to faster speeds. Higher torque also means less drag, which in turn means more boating options; it could be applied to any type of boat. From light to heavy, pleasure or commercial boats.
\n
\nThe synergy between the 4-2-1 Performance Tuned Exhaust and our fine-tuned ECU programming, MFS90 provides a strong acceleration when needed in order to get the boat on plane quicker and allowing you to reach the top end speed faster.
\n
\nEquipped with standard features such as Variable Idle System allowing you to change the idle speed from 650 to 850 RPMs, a low gear ratio (2.08:1) giving you the increased low end torque your boat needs, a fresh-water Flushing System designed to make routine flushing easier, and a High Output 41 amp Alternator, the MFS90 provides the industry leading features you expect from Tohatsu.",,,taxable,,1,,,0,0,,,,,1,,,15937,"Outboards, Outboards > Tohatsu Boat Motors",,,https://strykerboats.com/wp-content/uploads/2021/02/MFS90A.jpg,,,,,,,,,146,,,,,,,,,,,,,,,,,,,,,,,
5766,simple,OTMFS115AETUL,"TOHATSU MFS115AETUL",1,0,visible,"The MFS115 design is built on our best-selling models the MFS40/50/60 and the MFS9.9/15/20. The legacy of our top performing and most reliable engines has been passed on, with a dynamic design and sophisticated details, to our all new MFS115 4-stroke outboard with industry-first innovative feature and characteristics.
\n
\nThe groundbreaking industry-first technology, 4-2-1 Performance Tuned Exhaust, provides incomparable torque throughout the RPM range. The higher torque you have the better hole shot, which translates to faster speeds. Higher torque also means less drag, which in turn means more boating options; it could be applied to any type of boat. From light to heavy, pleasure or commercial boats.
\n
\nThe synergy between the 4-2-1 Performance Tuned Exhaust and our fine-tuned ECU programming, MFS115 provides a strong acceleration when needed in order to get the boat on plane quicker and allowing you to reach the top end speed faster.
\n
\nEquipped with standard features such as Variable Idle System allowing you to change the idle speed from 650 to 850 RPMs, a low gear ratio (2.08:1) giving you the increased low end torque your boat needs, a fresh-water Flushing System designed to make routine flushing easier, and a High Output 41 amp Alternator, the MFS115 provides the industry leading features you expect from Tohatsu.","The MFS115 design is built on our best-selling models the MFS40/50/60 and the MFS9.9/15/20. The legacy of our top performing and most reliable engines has been passed on, with a dynamic design and sophisticated details, to our all new MFS115 4-stroke outboard with industry-first innovative feature and characteristics.
\n
\nThe groundbreaking industry-first technology, 4-2-1 Performance Tuned Exhaust, provides incomparable torque throughout the RPM range. The higher torque you have the better hole shot, which translates to faster speeds. Higher torque also means less drag, which in turn means more boating options; it could be applied to any type of boat. From light to heavy, pleasure or commercial boats.
\n
\nThe synergy between the 4-2-1 Performance Tuned Exhaust and our fine-tuned ECU programming, MFS115 provides a strong acceleration when needed in order to get the boat on plane quicker and allowing you to reach the top end speed faster.
\n
\nEquipped with standard features such as Variable Idle System allowing you to change the idle speed from 650 to 850 RPMs, a low gear ratio (2.08:1) giving you the increased low end torque your boat needs, a fresh-water Flushing System designed to make routine flushing easier, and a High Output 41 amp Alternator, the MFS115 provides the industry leading features you expect from Tohatsu.",,,taxable,,1,,,0,0,,,,,1,,,16426,"Outboards, Outboards > Tohatsu Boat Motors",,,https://strykerboats.com/wp-content/uploads/2021/02/MFS115A.jpg,,,,,,,,,147,,,,,,,,,,,,,,,,,,,,,,,
5769,simple,OS60ATL,"SUZUKI 60ATL",1,0,visible,"<strong>DOHC 12-Valve Engine</strong>
\nSuzuki's vast experience in designing and manufacturing four-stroke engines for motorcycle, automotive, and marine use is unrivaled. In drawing upon this wealth of knowledge, Suzuki engineers have designed an all-new inline three-cylinder engine with a compact dual overhead cam (DOHC) powerhead and four valves per cylinder. Effective use of advanced technologies provides the DF60A with high-tech performance, efficient operation, and excellent fuel economy.
\n
\n<strong>Most Compact/Lightest Design</strong>
\nSuzuki has been an industry leader in compact four-stroke designs, and the DF60A lives up to that reputation. Suzuki engineers redesigned each part and component from the ground up, applying the knowledge and technological advancements gained over the last decade to produce an outboard that is the lightest and most compact in its class.
\n
\n<strong>Mechanically Efficient Design</strong>
\nSuzuki engineers looked for ways to reduce mechanical loss as a way to improve efficiency. A new oil pump design delivers greater mechanical efficiency allowing oil to flow through the lubrication system with less resistance. This, combined with reduced mechanical loss in other areas of the engine contributes to better fuel economy.","<strong>DOHC 12-Valve Engine</strong>
\nSuzuki's vast experience in designing and manufacturing four-stroke engines for motorcycle, automotive, and marine use is unrivaled. In drawing upon this wealth of knowledge, Suzuki engineers have designed an all-new inline three-cylinder engine with a compact dual overhead cam (DOHC) powerhead and four valves per cylinder. Effective use of advanced technologies provides the DF60A with high-tech performance, efficient operation, and excellent fuel economy.
\n
\n<strong>Most Compact/Lightest Design</strong>
\nSuzuki has been an industry leader in compact four-stroke designs, and the DF60A lives up to that reputation. Suzuki engineers redesigned each part and component from the ground up, applying the knowledge and technological advancements gained over the last decade to produce an outboard that is the lightest and most compact in its class.
\n
\n<strong>Mechanically Efficient Design</strong>
\nSuzuki engineers looked for ways to reduce mechanical loss as a way to improve efficiency. A new oil pump design delivers greater mechanical efficiency allowing oil to flow through the lubrication system with less resistance. This, combined with reduced mechanical loss in other areas of the engine contributes to better fuel economy.",,,taxable,,0,,,0,0,,,,,1,,,11400,"Outboards, Outboards > Suzuki Boat Motors",,,https://strykerboats.com/wp-content/uploads/2021/02/Suzuki2930_DF60ATL_E01_2017-lpr.jpg,,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,,,
5771,simple,OS90ATX,"SUZUKI DF90ATX",1,0,visible,"<strong>Overwhelmingly Light, Lightest in Class</strong>
\nL:157kg
\n
\n<strong>Compact</strong>
\n100ps from a DF90A engine body
\nOffset drive shaft for compact body
\n
\n<strong>The Largest Reduction Gear Ratio</strong>
\n2.59:1, the greatest reduction gear ratio","<strong>Overwhelmingly Light, Lightest in Class</strong>
\nL:157kg
\n
\n<strong>Compact</strong>
\n100ps from a DF90A engine body
\nOffset drive shaft for compact body
\n
\n<strong>The Largest Reduction Gear Ratio</strong>
\n2.59:1, the greatest reduction gear ratio",,,taxable,,0,,,0,0,,,,,1,,,13900,"Outboards, Outboards > Suzuki Boat Motors",,,https://strykerboats.com/wp-content/uploads/2021/02/Suzuki2944_DF90AL_E01_2017-lpr.jpg,,,,,,,,,129,,,,,,,,,,,,,,,,,,,,,,,
5774,simple,OS115,"SUZUKI DF115",1,0,visible,"<strong>Description Maximizing Fuel Economy and Performance</strong>
\nWith the launch of the new generation DF140A, DF115A and DF100A, our engineers have delivered a trio of outboards that offer great fuel economy without sacrificing on performance. This has been achieved by employing our advanced Lean Burn Fuel Control System.
\n
\n<strong>Transferring Power Into Speed</strong>
\nOur in-line four cylinder outboards utilise aggressive gear ratios that enable these outboards to swing a larger prop. The combination of a large prop and lower gear ratio delivers plenty of torque, exhilarating acceleration and exciting top-end speed.
\n
\n<strong>All Torque</strong>
\nWith acceleration and manoeuvrability high on the list of priorities it is no surprise that the DF140, with its excellent power to weight ratio, was one of the models selected for use at the London 2012 Olympic &amp; Paralympic Games Sailing Regatta.
\n
\n<strong>Innovative Technology</strong>
\nThe DF140A, DF115A and DF100A include an O2 Sensor Feedback System that helps to keep emissions cleaner and more stable. In addition to this the DF140A and DF115A also benefit form a knock sensor that detects and controls abnormal combustion allowing the engine to operate at optimum performance.
\n
\n<strong>Cleaner, More Efficient Operation</strong>
\nSuzuki utilizes a number of its advanced technologies to deliver cleaner, more efficient operation that conforms to the Recreational Craft Directive (RCD) – Directive 2003/44EC of the European Parliament and of the Council, and has received three-star ratings from the California Air Resources Board (CARB).","<strong>Description Maximizing Fuel Economy and Performance</strong>
\nWith the launch of the new generation DF140A, DF115A and DF100A, our engineers have delivered a trio of outboards that offer great fuel economy without sacrificing on performance. This has been achieved by employing our advanced Lean Burn Fuel Control System.
\n
\n<strong>Transferring Power Into Speed</strong>
\nOur in-line four cylinder outboards utilise aggressive gear ratios that enable these outboards to swing a larger prop. The combination of a large prop and lower gear ratio delivers plenty of torque, exhilarating acceleration and exciting top-end speed.
\n
\n<strong>All Torque</strong>
\nWith acceleration and manoeuvrability high on the list of priorities it is no surprise that the DF140, with its excellent power to weight ratio, was one of the models selected for use at the London 2012 Olympic &amp; Paralympic Games Sailing Regatta.
\n
\n<strong>Innovative Technology</strong>
\nThe DF140A, DF115A and DF100A include an O2 Sensor Feedback System that helps to keep emissions cleaner and more stable. In addition to this the DF140A and DF115A also benefit form a knock sensor that detects and controls abnormal combustion allowing the engine to operate at optimum performance.
\n
\n<strong>Cleaner, More Efficient Operation</strong>
\nSuzuki utilizes a number of its advanced technologies to deliver cleaner, more efficient operation that conforms to the Recreational Craft Directive (RCD) – Directive 2003/44EC of the European Parliament and of the Council, and has received three-star ratings from the California Air Resources Board (CARB).",,,taxable,,0,,,0,0,,,,,1,,,15955,"Outboards, Outboards > Suzuki Boat Motors",,,https://strykerboats.com/wp-content/uploads/2021/02/Suzuki3496_DF115_SS-lpr.jpg,,,,,,,,,130,,,,,,,,,,,,,,,,,,,,,,,
5776,variable,RIB520,"Stryker RIB 520 (17'7"") Rigid Hull Inflatable Boat",1,0,visible,"Ideal for 2-10 people
\nPerfect for console and seating options
\nLargest RIB we stock
\nFlat dek w/ bow locker, anchor tower, mooring cleat always included.
\nJET tunnel &amp; built in fuel tank options
\n
\n**** NOTE **** RIBS ARE INELIGIBLE FOR SHIPPING AT THIS TIME. LOCAL PICKUP ONLY ****","Ideal for 2-10 people
\nPerfect for console and seating options
\nLargest RIB we stock
\nFlat dek w/ bow locker, anchor tower, mooring cleat always included.
\nJET tunnel &amp; built in fuel tank options
\n
\n**** NOTE **** RIBS ARE INELIGIBLE FOR SHIPPING AT THIS TIME. LOCAL PICKUP ONLY ****",,,taxable,,1,,,0,0,280000,,,,1,,,,"Boats, Boats > Rigid Hull Inflatable Boats",,,"https://strykerboats.com/wp-content/uploads/2021/02/DSCF2258-24-1.jpg, https://strykerboats.com/wp-content/uploads/2021/02/DJI_0029-RIB450.jpg, https://strykerboats.com/wp-content/uploads/2021/02/DJI_0063-RIB520.jpg, https://strykerboats.com/wp-content/uploads/2021/02/IMG_5857-RIB520.jpg",,,,,,,,,9,color,"Storm Grey",1,1,,,,,,,,,,,,,,,,,,,
5779,variable,RIB500,"Stryker RIB 500 (16'5"") Rigid Hull Inflatable Boat",1,0,visible,"Ideal for 2-9 people
\nPerfect for console and seating options
\nPopular JET size
\nBest seller for 5 years in a row.
\nFull Aluminum weld v-hull with flat deck
\nBuilt in bow locker, anchor tower and mooring cleat included
\nJET tunnel option available
\n
\n**** NOTE **** RIBS ARE INELIGIBLE FOR SHIPPING AT THIS TIME. LOCAL PICKUP ONLY ****","Ideal for 2-9 people
\nPerfect for console and seating options
\nPopular JET size
\nBest seller for 5 years in a row.
\nFull Aluminum weld v-hull with flat deck
\nBuilt in bow locker, anchor tower and mooring cleat included
\nJET tunnel option available
\n
\n**** NOTE **** RIBS ARE INELIGIBLE FOR SHIPPING AT THIS TIME. LOCAL PICKUP ONLY ****",,,taxable,,1,,,0,0,295000,,,,1,,,,"Boats, Boats > Rigid Hull Inflatable Boats",,,"https://strykerboats.com/wp-content/uploads/2021/02/DSCF0289-9.jpg, https://strykerboats.com/wp-content/uploads/2021/02/DSCF0284-6.jpg, https://strykerboats.com/wp-content/uploads/2021/02/DSCF0301-11.jpg, https://strykerboats.com/wp-content/uploads/2021/02/DSCF0308-13.jpg, https://strykerboats.com/wp-content/uploads/2021/02/DSCF2192-2.jpg, https://strykerboats.com/wp-content/uploads/2021/02/DSCF2199-4.jpg, https://strykerboats.com/wp-content/uploads/2021/02/DSCF2216-7.jpg, https://strykerboats.com/wp-content/uploads/2021/02/DSCF2258-24.jpg, https://strykerboats.com/wp-content/uploads/2021/02/DJI_0110-RIB-500.jpg",,,,,,,,,8,color,"Storm Grey",1,1,,,,,,,,,,,,,,,,,,"Storm Grey",
5788,variable,,"Stryker RIB 450 (14'7"") Rigid Hull Inflatable Boat",1,0,visible,"Overall Length: 14' 7""
\nIdeal for 2-8 people
\nRated for up to 70HP
\nFull Aluminum weld v-hull with flat deck
\nBuilt in bow locker, anchor tower and mooring cleat included
\nJET tunnel &amp; built in fuel tank available.
\n
\n**** NOTE **** RIBS ARE INELIGIBLE FOR SHIPPING AT THIS TIME. LOCAL PICKUP ONLY ****","Overall Length: 14' 7""
\nIdeal for 2-8 people
\nRated for up to 70HP
\nFull Aluminum weld v-hull with flat deck
\nBuilt in bow locker, anchor tower and mooring cleat included
\nJET tunnel &amp; built in fuel tank available.
\n
\n**** NOTE **** RIBS ARE INELIGIBLE FOR SHIPPING AT THIS TIME. LOCAL PICKUP ONLY ****",,,taxable,,1,,,0,0,238000,,,,1,,,,"Boats, Boats > Rigid Hull Inflatable Boats",,,https://strykerboats.com/wp-content/uploads/2021/02/DJI_0029.jpg,,,,,,,,,7,color,"Storm Grey",1,1,,,,,,,,,,,,,,,,,,"Storm Grey",
5791,variable,RIB420,"Stryker RIB 420 (13'7"") Rigid Hull Inflatable Boat",1,0,visible,"Overall Length: 13' 7""
\nIdeal for 2-7 people
\nPerfect for console and seating options
\nSmallest RIB available with built in gas tank.
\nRated for up to 65HP
\nFull Aluminum weld v-hull with flat deck
\nBuilt in bow locker, anchor tower and mooring cleat included
\nJET tunnel hull option available.
\n
\n**** NOTE **** RIBS ARE INELIGIBLE FOR SHIPPING AT THIS TIME. LOCAL PICKUP ONLY ****","Overall Length: 13' 7""
\nIdeal for 2-7 people
\nPerfect for console and seating options
\nSmallest RIB available with built in gas tank.
\nRated for up to 65HP
\nFull Aluminum weld v-hull with flat deck
\nBuilt in bow locker, anchor tower and mooring cleat included
\nJET tunnel hull option available.
\n
\n**** NOTE **** RIBS ARE INELIGIBLE FOR SHIPPING AT THIS TIME. LOCAL PICKUP ONLY ****",,,taxable,,1,,,0,0,174000,,,,1,,,,"Boats, Boats > Rigid Hull Inflatable Boats",,,"https://strykerboats.com/wp-content/uploads/2021/02/IMG_0310-RIB-420.jpg, https://strykerboats.com/wp-content/uploads/2021/02/IMG_0553-RIB-420-2.jpg",,,,,,,,,6,color,"Storm Grey",1,1,,,,,,,,,,,,,,,,,,"Storm Grey",
5792,variable,RIB380,"Stryker RIB 380 (12'4"") Rigid Hull Inflatable Boat",1,0,visible,"Ideal for 2-5 people. Overall length is 12' 4"" and rated for up to 40HP. Works nicely with console or tiller setup.
\nFull Aluminum weld v-hull with flat deck
\nBuilt in bow locker, anchor tower and mooring cleat included
\n
\n**** NOTE **** RIBS ARE INELIGIBLE FOR SHIPPING AT THIS TIME. LOCAL PICKUP ONLY ****","Ideal for 2-5 people. Overall length is 12' 4"" and rated for up to 40HP. Works nicely with console or tiller setup.
\nFull Aluminum weld v-hull with flat deck
\nBuilt in bow locker, anchor tower and mooring cleat included
\n
\n**** NOTE **** RIBS ARE INELIGIBLE FOR SHIPPING AT THIS TIME. LOCAL PICKUP ONLY ****",,,taxable,,1,,,0,0,128000,,,,1,,,,"Boats, Boats > Rigid Hull Inflatable Boats",,,"https://strykerboats.com/wp-content/uploads/2021/02/IMG_0176.jpg, https://strykerboats.com/wp-content/uploads/2021/02/IMG_0156.jpg, https://strykerboats.com/wp-content/uploads/2021/02/IMG_0167.jpg, https://strykerboats.com/wp-content/uploads/2021/02/IMG_0154.jpg",,,,,,,,,5,color,"Storm Grey",1,1,,,,,,,,,,,,,,,,,,"Storm Grey",
5793,variable,RIB320,"Stryker RIB 320 (10'5"") Rigid Hull Inflatable Boat",1,0,visible,"Ideal for 2-3 people. At 10' 5"" this boat is rated for up to 20HP. This size is appropriate for tiller or console. Our bench console with steering arm pairs perfectly with this size boat if you are looking for a small RIB with console steering.
\n
\n**** NOTE **** RIBS ARE INELIGIBLE FOR SHIPPING AT THIS TIME. LOCAL PICKUP ONLY ****","Ideal for 2-3 people. At 10' 5"" this boat is rated for up to 20HP. This size is appropriate for tiller or console. Our bench console with steering arm pairs perfectly with this size boat if you are looking for a small RIB with console steering.
\n
\n<a href=""https://youtu.be/JYBj_yDsCCQ"">https://youtu.be/JYBj_yDsCCQ</a>
\n
\n**** NOTE **** RIBS ARE INELIGIBLE FOR SHIPPING AT THIS TIME. LOCAL PICKUP ONLY ****",,,taxable,,1,,,0,0,80000,,,,1,,,,"Boats, Boats > Rigid Hull Inflatable Boats",,,"https://strykerboats.com/wp-content/uploads/2020/12/RIB-320-13.jpg, https://strykerboats.com/wp-content/uploads/2020/12/RIB-320-1.jpg, https://strykerboats.com/wp-content/uploads/2020/12/RIB-320-2.jpg, https://strykerboats.com/wp-content/uploads/2020/12/RIB-320-3.jpg, https://strykerboats.com/wp-content/uploads/2020/12/RIB-320-4.jpg, https://strykerboats.com/wp-content/uploads/2020/12/RIB-320-5.jpg, https://strykerboats.com/wp-content/uploads/2020/12/RIB-320-6.jpg, https://strykerboats.com/wp-content/uploads/2020/12/RIB-320-7.jpg, https://strykerboats.com/wp-content/uploads/2020/12/RIB-320-8.jpg, https://strykerboats.com/wp-content/uploads/2020/12/RIB-320-9.jpg, https://strykerboats.com/wp-content/uploads/2020/12/RIB-320-10.jpg, https://strykerboats.com/wp-content/uploads/2020/12/RIB-320-11.jpg, https://strykerboats.com/wp-content/uploads/2020/12/RIB-320-12.jpg, https://strykerboats.com/wp-content/uploads/2020/12/RIB-320-13.jpg, https://strykerboats.com/wp-content/uploads/2020/12/RIB-320-14.jpg, https://strykerboats.com/wp-content/uploads/2020/12/RIB-320-15.jpg, https://strykerboats.com/wp-content/uploads/2020/12/RIB-320-16.jpg, https://strykerboats.com/wp-content/uploads/2020/12/RIB-320-17.jpg, https://strykerboats.com/wp-content/uploads/2020/12/RIB-320-18.jpg",,,,,,,,,4,color,"Storm Grey",1,1,,,,,,,,,,,,,,,,,,"Storm Grey",
5797,variable,RIB270,"Stryker RIB 270 (8'9"") Rigid Hull Inflatable Boat",1,0,visible,"Ideal for 2-3 people as a tender for your bigger boat. 8'9"" in length makes the RIB 270 one of our most popular rigid hull inflatable boats as a dinghy.
\n
\n**** NOTE **** RIBS ARE INELIGIBLE FOR SHIPPING AT THIS TIME. LOCAL PICKUP ONLY ****","Ideal for 2-3 people as a tender for your bigger boat. 8'9"" in length makes the RIB 270 one of our most popular rigid hull inflatable boats as a dinghy.
\n
